Building_Type,Measure,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Industrial_Distribution_Warehouse_Cold,CO2,34.25,30.9,28.53,26.26,23.17,21.2,19.2,16.93,15.23,13.64,11.92,10.62,9.31,8.15,7.07,6.06,4.84,3.98,3.26,2.68,2.22,1.96,1.76,1.58,1.43,1.29,1.18,1.08,1.0,0.92,0.84
Industrial_Distribution_Warehouse,CO2,18.04,15.95,14.98,14.03,12.18,11.33,10.45,9.19,8.42,7.68,6.77,6.16,5.49,4.92,4.38,3.87,3.1,2.65,2.26,1.95,1.7,1.55,1.44,1.34,1.26,1.17,1.11,1.05,1.0,0.95,0.9
Healthcare,CO2,78.57,73.04,67.9,62.89,57.08,52.58,47.88,43.11,38.98,35.05,31.0,27.72,24.43,21.36,18.47,15.76,12.88,10.48,8.42,6.77,5.43,4.68,4.12,3.62,3.18,2.77,2.48,2.19,1.93,1.7,1.47
Hotel,CO2,60.56,56.06,52.17,48.36,43.74,40.33,36.77,33.04,29.91,26.94,23.83,21.34,18.83,16.51,14.32,12.26,10.01,8.2,6.64,5.38,4.37,3.8,3.37,2.99,2.66,2.35,2.12,1.9,1.71,1.53,1.35
Lodges_Leisure_Recreation,CO2,51.59,47.6,44.33,41.14,37.11,34.25,31.26,28.06,25.44,22.95,20.31,18.22,16.11,14.16,12.33,10.6,8.66,7.14,5.83,4.78,3.93,3.45,3.09,2.77,2.49,2.23,2.04,1.85,1.69,1.54,1.39
Office,CO2,52.51,48.46,45.12,41.86,37.76,34.84,31.79,28.53,25.85,23.3,20.61,18.48,16.32,14.33,12.46,10.69,8.72,7.16,5.83,4.75,3.88,3.4,3.03,2.7,2.42,2.15,1.95,1.76,1.59,1.44,1.29
Retail_High_Street,CO2,61.48,56.93,52.98,49.12,44.44,40.98,37.36,33.59,30.42,27.4,24.24,21.72,19.18,16.82,14.6,12.51,10.23,8.39,6.81,5.53,4.51,3.93,3.5,3.11,2.77,2.46,2.23,2.0,1.81,1.62,1.45
Residential_Multi_Family,CO2,28.18,26.15,24.07,22.08,19.99,18.25,16.47,14.75,13.22,11.79,10.36,9.19,8.04,6.98,5.98,5.07,4.14,3.35,2.67,2.14,1.71,1.47,1.29,1.13,1.0,0.87,0.78,0.69,0.61,0.54,0.48
Retail_Shopping_Centre,CO2,52.73,48.68,45.33,42.06,37.95,35.02,31.96,28.69,26.01,23.45,20.75,18.61,16.44,14.45,12.57,10.8,8.82,7.26,5.92,4.84,3.97,3.48,3.11,2.79,2.5,2.23,2.03,1.84,1.67,1.52,1.37
Retail_Warehouse,CO2,40.9,37.52,34.98,32.5,29.16,26.94,24.63,22.04,20.01,18.08,15.99,14.37,12.72,11.21,9.79,8.45,6.88,5.7,4.69,3.87,3.21,2.84,2.56,2.31,2.09,1.88,1.73,1.59,1.46,1.34,1.22
