## Source: NCM Modelling Guide 2021 Edition (England), Table 7, p18
## Document: ncm_modelling_guide_2021_edition_england_21dec2021.pdf
## Extracted: 2026-02-07
## Context: SCoP values for Notional building space heating, linked to fuel in Actual building
## Notes: SCoP values already include 10% distribution losses (where applicable)
## Note on v7.0: SBEM v7.0.c references "2025 NCM Modelling Guide" but NCM Guide 2021 is latest published edition
fuel_in_actual_building,fuel_in_notional_building,scop_heated_only_toplit,scop_all_other,notes
"Dual fuel (mineral + wood)","Dual fuel (mineral + wood)",0.819,0.819,""
"Natural gas / LPG / fuel oil / manufactured smokeless fuel / coal / anthracite","Natural gas",0.65,0.86,"Heated-only top-lit uses 65% radiant at 86% thermal efficiency"
"Waste heat","Waste heat",0.63,0.63,""
"Bio-fuel (biogas or biomass)","The particular bio-fuel",0.63,0.63,""
"Electricity (heat pump)","Grid electricity (heat pump)",2.64,2.64,""
"Non-electric heat pump","Natural gas (heat pump)",1.26,1.26,""
"Electricity (direct) - modular/portable ≤2yr","Grid electricity (direct)",1.00,1.00,"Modular/portable buildings with planned use ≤2 years"
"Electricity (direct) - all other","Grid electricity (heat pump/direct electric hybrid)",1.34,1.34,"All other buildings"
